sample_id,folder_id,sent_id,sentence,prob_1
0,BZ,19826,"In the booklet of ""Slip of the Tongue"" 20th Anniversary Edition, David Coverdale comments :",-27.55908966064453
1,BZ,203,"Around 2002 his music became increasingly abstract, all but eliminating melody and featuring extended periods of silence.",-33.91790771484375
2,BZ,9810,Tottenham went on to defeat Bolton 2–0 and register their first league win of the season.,-59.79253387451172
3,BZ,4544,"Over time, the purebred Hereford stock were measured and selected to improve desirable inherited traits.",-56.49745178222656
4,BZ,2980,"In 1996, Ontario was divided into the same electoral districts as those used for federal electoral purposes.",-8.7204008102417
5,BZ,3796,Maj Gen (later Lt Gen) D K Chandorkar took over from Kabraji.,-47.28813552856445
6,BZ,14275,Threshold (album)  Threshold is the sixth studio album by the Swedish heavy metal band HammerFall.,-27.827022552490234
7,BZ,24498,"She supported Roma and women rights and was also involved in local politics in her hometown, Skopje.",-24.42323112487793
8,BZ,14271,"The film was a major hit, earning over US$185 million at the Chinese box office.",-17.96701431274414
9,BZ,442,He was born in Bremen and died on stage of a heart attack during a performance in Copenhagen.,-14.458393096923828
10,BZ,6349,It is there said to be similar to that already sanctioned for some bishops in Canada and Ireland:,-70.6166763305664
11,BZ,8234,Hyperkeratosis of palms and soles of feet appear in first few years of life.,-19.144222259521484
12,DD,16298,The band scored the support slot for David Bowie's 'Serious Moonlight' tour of Australia.,-36.76837158203125
13,DD,16930,Comcast bought out European Telcoms' Holding's Share to become the sole owner.,-40.81855773925781
14,DD,20602,"He was a member of the Mississippi House of Representatives from 1835 to 1836, and in 1839.",-22.969032287597656
15,DD,16121,It is not known how many fugitive slaves escaped through Indiana on their journey to Michigan and Canada.,-38.84687042236328
16,DD,19624,"the teeth have very short cusps, without toothless spaces at the jaw midlines.",-31.58980941772461
17,DD,16455,It was added to the list of New Testament manuscripts by Scholz (1794-1852).,-1.5088231563568115
18,DD,23401,"For 2012, Rémi Bezançon came for presenting his movie ""A Happy Event"".",-76.41847229003906
19,DD,13017,"On one occasion, in 1950, he kicked 19 goals in a match against Illawarra.",-13.518407821655273
20,CU,22560,"The group invited UK media into the recording session and discussed their process of creating the album. """,-38.709716796875
21,CU,13203,"Todd is strung up, has his ribcage broken open, spine severed and eyes removed.",-41.35041809082031
22,CU,22030,"After pollination, they develop into green fleshy fruits, each containing 1-3 seeds.",-16.964672088623047
23,CU,2458,In a speech to the Norman Rotary Club as guest of Retired U.S. Army Lt.,-45.474510192871094
24,CU,4916,"In this game, the player assumed the role of a Los Angeles police officer fighting rioters.",-11.776778221130371
25,BY,23600,"After the deployment in the north Pacific, the battle group was deployed in the South China Sea.",-23.53630256652832
26,BY,22847,"It is situated 12 km northwest of Greiz, and 19 km south of Gera.",-18.821250915527344
27,BY,3644,"It was the result of epidemic conditions prevailing in the camp, and the lack of medical care.",-31.6246337890625
28,BY,19371,Before the American Revolution there were no organized Episcopal churches left anywhere in this corner of the state.,-37.366764068603516
29,BY,7647,He was also a JP in Winnipeg for almost 25 years and his judicial work was highly regarded.,-38.17406463623047
30,BY,21953,"From late June to late August, the band went on the 2007 edition of Warped Tour. """,-20.15389633178711
31,BY,15997,"Players can also choose between a ""normal"" gameplay style or one that offers auto-blocking.",-30.470172882080078
32,AY,22125,Gavin Ward (musician)  Gavin Ward was one of the two founding members of Bolt Thrower.,-8.448781967163086
33,AY,19398,The film received positive to mixed reviews from critics and Chawla's performance was appreciated.,-8.347115516662598
34,AY,1512,Theories include that it is an autoimmune disease or a result of a viral infection.,-11.215970993041992
35,AY,4020,"With 178 episodes from 1992 to 2015, it is one of the longest-running Nickelodeon series.",-25.3773193359375
